tripid,starttime,stoptime,bikeid,duration,from,to,identifies,birthyear
Tr10411245,6/30/2016 10:01,6/30/2016 10:11,B2105,587,182,77,Male,1965
Tr10411099,6/30/2016 9:50,6/30/2016 9:54,B2676,282,141,291,Female,1982
Tr10410972,6/30/2016 9:39,6/30/2016 9:46,B2809,419,224,94,Male,1997
Tr10410852,6/30/2016 9:30,6/30/2016 9:31,B3135,88,71,112,Male,1981
Tr10410735,6/30/2016 9:21,6/30/2016 9:41,B2491,1196,334,24,Male,1993
Tr10410614,6/30/2016 9:13,6/30/2016 9:26,B3935,741,341,150,,
Tr10410491,6/30/2016 9:08,6/30/2016 9:25,B4598,1007,138,91,Male,1972
Tr10410338,6/30/2016 9:02,6/30/2016 9:18,B4548,914,60,194,Female,1988
Tr10410178,6/30/2016 8:57,6/30/2016 9:09,B5131,744,301,81,Male,1971
Tr10410052,6/30/2016 8:52,6/30/2016 8:59,B5360,446,122,186,Male,1973
Tr10409929,6/30/2016 8:47,6/30/2016 8:58,B3804,649,98,111,Male,1955
Tr10409801,6/30/2016 8:43,6/30/2016 9:10,B812,1581,177,90,Male,1967
Tr10409672,6/30/2016 8:39,6/30/2016 8:53,B3730,835,183,342,Male,1992
Tr10409551,6/30/2016 8:35,6/30/2016 8:57,B5575,1316,30,194,Female,1985
Tr10409437,6/30/2016 8:31,6/30/2016 8:41,B5412,603,394,81,Male,1985
Tr10409323,6/30/2016 8:26,6/30/2016 8:48,B3615,1333,234,289,Female,1981
Tr10409213,6/30/2016 8:23,6/30/2016 8:33,B4781,644,417,423,Female,1990
Tr10409082,6/30/2016 8:18,6/30/2016 8:39,B4842,1241,87,91,Female,1986
Tr10408956,6/30/2016 8:14,6/30/2016 8:33,B5632,1113,129,283,Male,1985
Tr10408831,6/30/2016 8:10,6/30/2016 8:13,B122,202,28,118,Male,1990
Tr10408721,6/30/2016 8:06,6/30/2016 8:11,B1481,279,191,49,Male,1971
Tr10408611,6/30/2016 8:02,6/30/2016 8:09,B2220,437,184,193,Female,1992
Tr10408485,6/30/2016 7:58,6/30/2016 8:14,B5306,967,61,100,Male,1992
Tr10408350,6/30/2016 7:53,6/30/2016 7:59,B5277,324,110,47,Female,1988
Tr10408221,6/30/2016 7:49,6/30/2016 7:55,B1872,385,51,195,Male,1968
Tr10408107,6/30/2016 7:45,6/30/2016 7:50,B3157,293,16,69,Male,1980
Tr10407996,6/30/2016 7:40,6/30/2016 7:51,B5032,659,359,61,Male,1984
Tr10407884,6/30/2016 7:35,6/30/2016 7:50,B5296,866,77,161,Male,1965
Tr10407599,6/30/2016 7:30,6/30/2016 7:33,B2336,172,39,40,Female,1984
Tr10407484,6/30/2016 7:25,6/30/2016 8:38,B4879,4435,90,76,,
Tr10407367,6/30/2016 7:20,6/30/2016 7:28,B5318,499,50,52,Male,1967
Tr10407247,6/30/2016 7:13,6/30/2016 7:18,B2066,278,256,256,Female,1975
Tr10407139,6/30/2016 7:07,6/30/2016 7:10,B4872,211,303,300,Male,1987
Tr10407006,6/30/2016 6:58,6/30/2016 7:01,B4394,208,106,31,Male,1987
Tr10406892,6/30/2016 6:50,6/30/2016 7:06,B3358,977,301,44,Female,1957
Tr10406778,6/30/2016 6:40,6/30/2016 6:47,B3972,445,75,22,Male,1971
Tr10406674,6/30/2016 6:29,6/30/2016 6:40,B582,631,75,383,Male,1988
Tr10406552,6/30/2016 6:16,6/30/2016 6:24,B5177,529,283,140,Male,1981
Tr10406441,6/30/2016 5:58,6/30/2016 6:05,B1392,421,511,116,Male,1973
Tr10406332,6/30/2016 5:19,6/30/2016 5:25,B1230,371,331,182,Male,1990
Tr10406228,6/30/2016 1:41,6/30/2016 1:47,B5605,370,39,41,,
Tr10406122,6/30/2016 0:03,6/30/2016 0:12,B1093,526,220,190,Male,1974
Tr10426548,6/30/2016 23:30,6/30/2016 23:57,B2702,1618,291,116,Male,1983
Tr10426416,6/30/2016 23:07,6/30/2016 23:14,B4162,447,115,114,Male,1993
Tr10426275,6/30/2016 22:46,6/30/2016 22:56,B5717,585,52,284,,
Tr10426153,6/30/2016 22:30,6/30/2016 23:02,B4621,1947,118,314,Male,1985
Tr10426013,6/30/2016 22:17,6/30/2016 22:20,B2343,203,153,229,Male,1992
Tr10425879,6/30/2016 22:03,6/30/2016 22:11,B4582,502,33,168,Male,1975
Tr10425746,6/30/2016 21:51,6/30/2016 22:21,B4613,1756,69,199,,
Tr10425639,6/30/2016 21:38,6/30/2016 21:59,B5638,1227,289,157,Male,1987
Tr10425515,6/30/2016 21:28,6/30/2016 21:49,B748,1288,223,498,,
Tr10425381,6/30/2016 21:17,6/30/2016 21:40,B881,1348,272,55,Male,1991
Tr10425266,6/30/2016 21:09,6/30/2016 21:29,B4795,1210,498,27,,
Tr10425119,6/30/2016 20:59,6/30/2016 21:10,B5471,668,146,376,Female,1969
Tr10425000,6/30/2016 20:49,6/30/2016 20:53,B55,202,337,110,Male,1963
Tr10424877,6/30/2016 20:41,6/30/2016 21:54,B5523,4354,170,170,,
Tr10424758,6/30/2016 20:33,6/30/2016 20:50,B3560,982,210,191,Male,1991
Tr10424627,6/30/2016 20:24,6/30/2016 20:34,B4759,639,423,121,Female,1986
Tr10424493,6/30/2016 20:16,6/30/2016 20:20,B427,207,199,110,Male,1986
Tr10424372,6/30/2016 20:09,6/30/2016 20:24,B5702,892,125,68,Male,1994
Tr10424242,6/30/2016 20:01,6/30/2016 20:16,B5023,918,329,229,Female,1960
Tr10424120,6/30/2016 19:54,6/30/2016 20:01,B4728,394,199,145,Male,1965
Tr10424010,6/30/2016 19:49,6/30/2016 20:07,B56,1062,344,480,Male,1987
Tr10423904,6/30/2016 19:42,6/30/2016 20:12,B4379,1805,342,290,Female,1960
Tr10423795,6/30/2016 19:36,6/30/2016 20:00,B3987,1434,268,268,,
Tr10423683,6/30/2016 19:30,6/30/2016 19:52,B2956,1348,113,229,,
Tr10423567,6/30/2016 19:24,6/30/2016 19:33,B5298,492,286,52,Male,1989
Tr10423451,6/30/2016 19:19,6/30/2016 19:54,B3925,2106,35,4,,
Tr10423327,6/30/2016 19:14,6/30/2016 19:28,B3306,835,293,117,Male,1991
Tr10423187,6/30/2016 19:09,6/30/2016 19:25,B5226,923,188,141,Male,1986
Tr10423064,6/30/2016 19:04,6/30/2016 19:17,B4656,784,181,94,Male,1990
Tr10422958,6/30/2016 18:59,6/30/2016 19:16,B1386,996,230,240,Male,1982
Tr10422839,6/30/2016 18:55,6/30/2016 19:06,B869,650,20,138,Female,1987
Tr10422723,6/30/2016 18:51,6/30/2016 19:11,B5711,1236,33,199,Female,1989
Tr10422613,6/30/2016 18:47,6/30/2016 19:00,B5520,797,143,114,Female,1990
Tr10422500,6/30/2016 18:43,6/30/2016 18:51,B235,499,337,268,Female,1984
Tr10422362,6/30/2016 18:38,6/30/2016 18:55,B855,1005,238,249,,
Tr10422244,6/30/2016 18:33,6/30/2016 19:01,B5453,1659,37,288,Male,1985
Tr10422135,6/30/2016 18:29,6/30/2016 18:32,B454,199,87,302,Male,1994
Tr10422025,6/30/2016 18:25,6/30/2016 18:34,B2006,527,123,260,,
Tr10421902,6/30/2016 18:22,6/30/2016 18:36,B487,886,20,111,Male,1989
Tr10421780,6/30/2016 18:18,6/30/2016 18:30,B5068,746,168,90,Male,1987
Tr10421665,6/30/2016 18:14,6/30/2016 18:38,B1831,1431,75,61,Female,1985
Tr10421533,6/30/2016 18:11,6/30/2016 18:26,B3248,925,110,195,,
Tr10421420,6/30/2016 18:08,6/30/2016 18:23,B4926,916,339,9,Male,1990
Tr10421311,6/30/2016 18:05,6/30/2016 18:13,B3342,517,256,332,Male,1994
Tr10421207,6/30/2016 18:01,6/30/2016 19:02,B3122,3682,33,253,,
Tr10421097,6/30/2016 17:58,6/30/2016 18:00,B2683,165,240,306,Male,1992
Tr10420984,6/30/2016 17:55,6/30/2016 17:58,B3246,217,96,71,Male,1974
Tr10420860,6/30/2016 17:52,6/30/2016 17:56,B1560,239,287,33,Male,1979
Tr10420722,6/30/2016 17:49,6/30/2016 18:08,B4375,1137,123,302,Male,1977
Tr10420597,6/30/2016 17:45,6/30/2016 18:15,B2299,1784,401,31,Male,1992
Tr10420484,6/30/2016 17:42,6/30/2016 18:07,B4209,1508,90,113,Male,1970
Tr10420375,6/30/2016 17:39,6/30/2016 18:13,B724,2028,69,312,,
Tr10420255,6/30/2016 17:36,6/30/2016 17:46,B1522,645,111,192,,
Tr10420142,6/30/2016 17:33,6/30/2016 17:44,B1679,672,233,98,Male,1988
Tr10420031,6/30/2016 17:30,6/30/2016 17:47,B3560,1025,255,90,,
Tr10419924,6/30/2016 17:27,6/30/2016 17:45,B3845,1094,85,76,Male,1980
Tr10419814,6/30/2016 17:24,6/30/2016 17:31,B4788,369,58,69,Male,1991
Tr10419703,6/30/2016 17:21,6/30/2016 17:38,B3508,983,199,130,Male,1989
Tr10419590,6/30/2016 17:19,6/30/2016 17:33,B4038,877,85,50,Male,1968
Tr10419471,6/30/2016 17:16,6/30/2016 17:29,B5587,791,150,4,,
Tr10419362,6/30/2016 17:13,6/30/2016 17:32,B3939,1132,6,268,Male,1981
Tr10419250,6/30/2016 17:10,6/30/2016 17:22,B5690,707,49,108,Male,1994
Tr10419138,6/30/2016 17:08,6/30/2016 17:20,B2926,717,133,30,Female,1991
Tr10419027,6/30/2016 17:06,6/30/2016 17:12,B4232,385,417,345,Female,1970
Tr10418923,6/30/2016 17:04,6/30/2016 17:23,B2196,1192,52,382,Male,1991
Tr10418817,6/30/2016 17:01,6/30/2016 17:52,B340,3043,6,35,,
Tr10418710,6/30/2016 16:58,6/30/2016 17:19,B3127,1248,303,23,Male,1965
Tr10418601,6/30/2016 16:55,6/30/2016 17:33,B5702,2245,94,25,,
Tr10418492,6/30/2016 16:53,6/30/2016 17:19,B4470,1613,47,220,Female,1984
Tr10418379,6/30/2016 16:50,6/30/2016 16:56,B409,333,347,240,Male,1990
Tr10418264,6/30/2016 16:47,6/30/2016 17:10,B2010,1428,94,296,,
Tr10418148,6/30/2016 16:43,6/30/2016 16:54,B5682,642,144,46,Male,1985
Tr10418021,6/30/2016 16:39,6/30/2016 16:48,B5643,563,128,346,Male,1987
Tr10417912,6/30/2016 16:35,6/30/2016 16:49,B3829,804,122,376,Male,1973
Tr10417801,6/30/2016 16:31,6/30/2016 16:42,B4849,641,174,23,Male,1989
Tr10417673,6/30/2016 16:26,6/30/2016 16:40,B3663,828,198,182,Male,1991
Tr10417555,6/30/2016 16:22,6/30/2016 16:37,B4344,923,74,56,Male,1988
Tr10417440,6/30/2016 16:18,6/30/2016 16:24,B3213,353,75,57,Male,1974
Tr10417331,6/30/2016 16:14,6/30/2016 16:25,B4096,682,233,212,Male,1986
Tr10417219,6/30/2016 16:08,6/30/2016 16:20,B5464,720,283,31,Male,1986
Tr10417109,6/30/2016 16:03,6/30/2016 16:08,B3545,294,116,504,Male,1983
Tr10416994,6/30/2016 15:58,6/30/2016 16:06,B1714,463,217,134,Male,1980
Tr10416873,6/30/2016 15:54,6/30/2016 16:09,B4958,885,286,86,Male,1985
Tr10416763,6/30/2016 15:49,6/30/2016 16:04,B3310,898,344,231,Male,1965
Tr10416658,6/30/2016 15:44,6/30/2016 15:47,B1999,148,225,144,Male,1991
Tr10416537,6/30/2016 15:38,6/30/2016 15:44,B5339,341,51,174,Male,1976
Tr10416409,6/30/2016 15:32,6/30/2016 15:37,B2948,247,176,126,Male,1985
Tr10416287,6/30/2016 15:26,6/30/2016 15:40,B1155,841,344,227,Male,1965
Tr10416153,6/30/2016 15:19,6/30/2016 15:40,B5480,1284,255,35,,
Tr10416013,6/30/2016 15:12,6/30/2016 15:25,B5068,777,341,168,Male,1962
Tr10415878,6/30/2016 15:05,6/30/2016 15:14,B1241,553,91,169,Male,1952
Tr10415762,6/30/2016 14:58,6/30/2016 15:07,B3475,533,364,110,Male,1965
Tr10415630,6/30/2016 14:51,6/30/2016 14:54,B5324,185,463,294,Male,1972
Tr10415488,6/30/2016 14:43,6/30/2016 14:58,B3416,945,192,195,Male,1988
Tr10415365,6/30/2016 14:34,6/30/2016 14:45,B1105,623,36,146,Male,1992
Tr10415247,6/30/2016 14:27,6/30/2016 14:41,B1493,878,47,180,Male,1970
Tr10415133,6/30/2016 14:20,6/30/2016 14:30,B2507,602,211,111,Female,1967
Tr10415022,6/30/2016 14:11,6/30/2016 14:41,B5052,1752,287,13,Male,1990
Tr10414903,6/30/2016 14:03,6/30/2016 14:14,B2041,688,49,59,Female,1987
Tr10414792,6/30/2016 13:56,6/30/2016 14:03,B2946,434,3,59,Male,1978
Tr10414677,6/30/2016 13:50,6/30/2016 14:05,B3713,871,110,48,Male,1990
Tr10414563,6/30/2016 13:43,6/30/2016 14:22,B4452,2348,76,38,,
Tr10414426,6/30/2016 13:36,6/30/2016 13:42,B4988,336,327,188,Male,1976
Tr10414290,6/30/2016 13:28,6/30/2016 13:47,B2016,1154,31,52,,
Tr10414151,6/30/2016 13:20,6/30/2016 13:28,B1265,475,302,113,Female,1984
Tr10414029,6/30/2016 13:13,6/30/2016 13:18,B5703,297,100,53,Male,1960
Tr10413909,6/30/2016 13:05,6/30/2016 13:13,B2138,464,69,128,Male,1966
Tr10413796,6/30/2016 12:56,6/30/2016 13:03,B4708,404,507,260,Male,1989
Tr10413675,6/30/2016 12:49,6/30/2016 12:58,B2373,553,13,115,Female,1977
Tr10413553,6/30/2016 12:41,6/30/2016 13:09,B764,1691,459,334,,
Tr10413443,6/30/2016 12:34,6/30/2016 12:41,B4056,424,76,76,,
Tr10413330,6/30/2016 12:26,6/30/2016 12:42,B5811,961,36,255,Male,1987
Tr10413208,6/30/2016 12:20,6/30/2016 12:23,B5358,192,24,26,,
Tr10413080,6/30/2016 12:13,6/30/2016 12:24,B5802,623,283,164,Male,1991
Tr10412933,6/30/2016 12:06,6/30/2016 12:14,B3837,517,96,98,Male,1966
Tr10412815,6/30/2016 11:59,6/30/2016 12:09,B5898,602,18,39,,
Tr10412669,6/30/2016 11:50,6/30/2016 11:55,B4962,327,217,346,Male,1977
Tr10412551,6/30/2016 11:42,6/30/2016 12:12,B5360,1854,192,505,Male,1979
Tr10412432,6/30/2016 11:34,6/30/2016 11:41,B4802,435,51,53,Female,1981
Tr10412302,6/30/2016 11:23,6/30/2016 11:53,B3549,1779,35,341,,
Tr10412167,6/30/2016 11:15,6/30/2016 11:50,B5817,2119,436,129,Male,1958
Tr10412045,6/30/2016 11:06,6/30/2016 11:28,B5166,1292,300,176,Male,1973
Tr10411916,6/30/2016 10:56,6/30/2016 11:08,B5343,721,48,103,Male,1982
Tr10411790,6/30/2016 10:44,6/30/2016 10:51,B5520,428,153,349,Female,1986
Tr10411663,6/30/2016 10:32,6/30/2016 10:40,B707,434,91,100,Male,1972
Tr10411537,6/30/2016 10:22,6/30/2016 10:34,B4797,712,111,98,Male,1955
Tr10411376,6/30/2016 10:11,6/30/2016 10:22,B4674,619,33,134,Male,1970
Tr10411231,6/30/2016 10:00,6/30/2016 10:20,B2400,1202,240,296,Female,1992
Tr10411089,6/30/2016 9:48,6/30/2016 9:53,B5632,279,161,142,Male,1980
Tr10410961,6/30/2016 9:39,6/30/2016 10:04,B2138,1506,69,290,,
Tr10410841,6/30/2016 9:29,6/30/2016 9:33,B1570,249,277,214,Male,1973
Tr10410719,6/30/2016 9:20,6/30/2016 9:26,B4612,389,164,264,Male,1980
Tr10410603,6/30/2016 9:13,6/30/2016 9:19,B5284,355,197,287,Male,1990
Tr10410476,6/30/2016 9:07,6/30/2016 9:13,B2431,381,67,288,Female,1965
Tr10410321,6/30/2016 9:02,6/30/2016 9:18,B4766,1000,158,100,Male,1972
Tr10410166,6/30/2016 8:56,6/30/2016 9:00,B3240,191,304,299,Male,1989
Tr10410040,6/30/2016 8:51,6/30/2016 9:00,B5703,517,112,191,Female,1985
Tr10409916,6/30/2016 8:46,6/30/2016 8:53,B215,387,183,69,Female,1991
Tr10409791,6/30/2016 8:43,6/30/2016 9:08,B1220,1486,304,52,Male,1977
Tr10409659,6/30/2016 8:39,6/30/2016 8:43,B3997,237,24,264,Male,1988
Tr10409540,6/30/2016 8:34,6/30/2016 8:47,B5864,735,364,81,Male,1979
Tr10409427,6/30/2016 8:31,6/30/2016 8:40,B3022,543,36,194,Male,1962
Tr10409312,6/30/2016 8:26,6/30/2016 8:36,B2611,564,53,91,Male,1980
Tr10409201,6/30/2016 8:22,6/30/2016 8:28,B2238,368,41,37,Female,1993
